index,open,close,high,low,Return
2018-02-24,10145.99,9650.3,10496.97,9352.0,-4.885669229252921
2018-02-25,9650.3,9611.43,9847.0,9274.8,-0.40278540563504217
2018-02-26,9611.43,10370.0,10444.32,9350.0,7.892373975568678
2018-02-27,10370.0,10635.0,10870.0,10121.0,2.555448408871741
2018-02-28,10639.0,10368.12,11098.0,10303.0,-2.509449929478136
2018-03-01,10368.12,10955.65,11060.41,10240.0,5.66669753050697
2018-03-02,10954.7,11024.73,11200.0,10770.0,0.6305422316339016
2018-03-03,11024.73,11474.0,11544.0,10943.11,4.075111136508558
2018-03-04,11474.0,11471.03,11499.0,11050.02,-0.025884608680493137
2018-03-05,11471.03,11619.99,11710.0,11415.01,1.2985756292154926
2018-03-06,11610.0,10620.61,11622.14,10555.48,-8.600523752602186
2018-03-07,10620.61,9847.39,10899.0,9389.31,-7.280372784614075
2018-03-08,9843.6,9338.99,10099.0,9060.0,-5.162789327933592
2018-03-09,9338.99,9280.93,9410.0,8329.0,-0.6216946372145093
2018-03-10,9280.93,8754.07,9490.0,8667.07,-5.6768017860279185
2018-03-11,8754.07,9463.39,9740.0,8450.0,8.102745351590745
2018-03-12,9463.38,9196.0,9888.88,8780.0,-2.8255202416892833
2018-03-13,9199.99,9174.97,9474.0,8823.0,-0.22868638538495745
2018-03-14,9174.97,8273.0,9333.78,7900.28,-9.830767839022903
2018-03-15,8273.3,8274.33,8430.0,7650.0,0.016076393085939777
2018-03-16,8277.06,8491.01,8611.64,7900.0,2.6187014537732978
2018-03-17,8491.01,7857.24,8502.0,7721.99,-7.464011937331372
2018-03-18,7858.0,8220.0,8317.4,7322.0,4.616888373016481
2018-03-19,8220.0,8559.0,8705.23,8088.4,4.124087591240877
2018-03-20,8560.86,8859.98,9050.0,8280.0,3.5165323051758346
2018-03-21,8859.0,8865.0,9177.01,8750.6,0.056659270111225624
2018-03-22,8865.0,8757.91,9100.0,8465.1,-1.2080090242526764
2018-03-23,8757.91,8737.02,8757.91,8269.0,-0.23852722852826247
2018-03-24,8737.03,8632.51,8999.95,8556.01,-1.1961744393397367
2018-03-25,8630.01,8425.01,8669.85,8365.77,-2.4037041370354673
2018-03-26,8429.0,8209.78,8514.89,7831.0,-2.554655721476884
2018-03-27,8213.0,7906.0,8215.94,7730.0,-3.700220955981781
2018-03-28,7907.0,7966.34,8109.0,7728.0,0.7632178092587871
2018-03-29,7966.38,7140.0,7977.9,6941.11,-10.3728939513001
2018-03-30,7140.0,6820.3,7292.43,6600.1,-4.477591036414563
2018-03-31,6820.29,6907.37,7223.36,6777.0,1.2766300602612635
2018-04-01,6907.36,6801.14,7049.98,6430.0,-1.537922537811054
2018-04-02,6801.13,7026.8,7125.0,6765.0,3.3179731633226073
2018-04-03,7026.8,7419.0,7520.0,6999.77,5.581488017305181
2018-04-04,7415.07,6770.02,7435.0,6707.0,-8.747540099743901
2018-04-05,6770.05,6793.0,6902.0,6566.69,0.3394376973775426
2018-04-06,6793.0,6590.07,6850.0,6500.0,-2.9873399087295804
2018-04-07,6590.07,6879.0,7070.0,6583.01,4.384323687001812
